Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake,Username
1,0,1,7,1,0,0,1,467,2022,793,0,aldrovandilaura
1,0,1,15,0,1,0,0,279,1235,947,0,borrellicamilla
1,0,2,0,0,0,1,0,293,282788,1061,0,marco_giallini_official
1,0,2,87,1,0,1,0,51,173149,76,0,leleadani
1,0,2,92,1,0,1,1,4390,1483531,80,0,hypebeaststyle
1,0,2,63,1,0,1,1,2075,3361296,307,0,netflixit
1,0.083,2,0,0,1,0,0,16,488,348,0,marcofabbri1
1,0,2,0,0,1,0,0,125,964,469,0,maestridebora
1,0,2,88,0,0,0,1,173,1737,995,0,elenacosta__
1,0,1,0,0,0,0,1,102,451,413,0,bernardo.bompani
1,0,1,1,0,0,0,0,44,746,822,0,rocco_mordonini
1,0,2,16,0,0,0,1,235,2023,618,0,iamninarosa
1,0,2,0,0,1,0,0,49,693,566,0,matteo_spaggiari
1,0,1,5,0,0,0,1,21,681,484,0,marco_leondiaz
1,0,3,67,1,0,1,1,12560,37207866,81,0,natgeotravel
1,0,3,31,0,0,1,0,519,298188,325,0,francescasofianovello
1,0.083,4,127,1,0,1,0,584,65210,156,0,carlfogarty1
1,0.143,2,105,1,0,1,1,845,36884,1797,0,aledelbianco52
1,0,3,0,0,0,1,0,29,391445,960,0,timothyweah
1,0,2,88,1,0,1,1,3541,7873243,341,0,mclarenauto
1,0,2,38,1,0,1,0,657,2762095,580,0,charles_leclerc
1,0,2,145,1,0,1,0,781,14688383,0,0,lewishamilton
1,0,2,59,0,0,0,0,391,1377,863,0,martinaafrontera
1,0,4,0,0,0,1,0,444,45832209,45,0,robertdowneyjr
1,0,4,93,1,0,1,0,559,970559,2060,0,klaus
1,0,1,71,1,0,1,1,4824,799679,239,0,worldsbk
1,0.182,4,70,1,0,1,0,900,54356,147,0,kschwantz34
1,0,2,3,1,0,1,1,1434,4613724,549,0,lukadoncic
1,0.05,4,0,0,0,1,0,169,244660,261,0,brunoralves2oficiall
1,0,3,12,1,0,1,1,2857,1754485,67,0,ktmfactoryracing
1,0,1,39,0,0,1,1,820,109764,161,0,takanakagami
1,0.286,2,97,0,0,1,1,1621,378474,375,0,mbeli21
1,0,3,94,1,0,1,1,6886,683681,410,0,marchmadness
1,0,2,12,0,0,1,1,390,3848779,384,0,dloading
1,0,5,75,1,0,1,1,4115,1281759,349,0,officialwrc
1,0,4,23,0,0,0,0,10,37,35,0,piuperrysuisocial
1,0.182,2,63,0,0,0,0,9,787,949,0,riccardo10_
1,0,2,31,0,1,0,0,13,837,872,0,eliza_goldsmith
1,0.286,2,30,0,0,0,0,2,1509,683,0,kish.14
1,0,1,17,0,0,0,0,26,1941,771,0,dolcenbagana
1,0,5,133,1,0,0,0,149,4985,1032,0,aimeetwistartistry
1,0,3,27,1,0,0,1,136,674,747,0,agneswonke
1,0,1,5,0,0,0,1,9,8856,1066,0,tash.lash
1,0,0,5,0,0,0,0,0,469,354,0,j.digweed_
1,0,0,10,0,0,0,0,1,314,269,0,m._kay
1,0,0,23,0,0,0,0,1,1140,1236,0,sigbinss
1,0,2,137,1,0,1,0,2738,934619,2153,0,sarashakeel
1,0,1,113,1,0,1,0,517,1224041,794,0,aarongordon
0,0,0,0,0,0,1,1,0,50044,256,0,thestarters
1,0.2,2,146,0,0,1,0,103,435618,783,0,jmglitxh27
1,0,1,79,0,0,1,0,1935,1105568,543,0,ryanbabel
1,0,3,148,1,0,1,1,15189,16232745,728,0,houseofhighlights
1,0,2,110,1,0,1,1,2844,1091449,762,0,giuliasalemi
1,0,2,110,0,0,1,0,1312,1448840,703,0,alecattelan
1,0,1,31,1,1,0,0,89,1034,876,0,alissfranzini
1,0,1,0,0,1,0,0,163,3267,636,0,sofia_gere
1,0,2,13,0,1,0,0,40,951,454,0,silviabizzarri_
1,0,1,0,0,1,0,0,52,775,401,0,guidolandini
1,0,2,12,1,0,1,0,390,2903831,391,0,danielricciardo
1,0,2,26,1,0,1,0,243,5427847,100,0,elettramiuralamborghini
1,0,2,103,1,0,1,0,5404,6287397,484,0,wanda_icardi
1,0,2,0,0,0,1,0,1116,600358,16,0,michaelkeatondouglas
1,0,3,0,0,0,0,0,47,7685,2217,0,stefaniaridii
1,0,3,49,0,0,0,0,37,706,308,0,raeccelina
1,0,2,29,0,1,0,0,3,545,434,0,mattia.ricucci
1,0,2,81,1,0,1,0,479,860378,234,0,mickschumacher
1,0.5,2,76,1,0,1,1,8762,9034441,53,0,f1
1,0,1,0,1,0,1,0,4948,64089784,2174,0,champagnepapi
1,0,2,44,1,0,0,0,69,640,617,0,allefanti
1,0,1,63,1,0,0,1,2276,193564,989,0,lagiornatatipo
1,0,4,64,0,1,0,0,84,412,668,0,riccardozirri
1,0,2,128,0,0,0,1,153,2133,1686,0,borsivisuals
1,0,1,17,0,0,0,0,57,680,627,0,_mattiaporta_
1,0,3,148,0,1,0,0,2755,1826028,557,0,ubriachifannocose
1,0,1,39,0,1,0,0,178,1785,945,0,francesca.bontempi
1,0,2,2,0,1,0,0,25,1936,1475,0,giuliaazurlo
1,0,2,0,0,0,1,0,1982,61400037,329,0,kingjames
1,0,2,91,1,0,1,1,28121,12349995,574,0,bleacherreport
1,0,1,124,1,0,1,1,29969,16175149,278,0,sportscenter
1,0,2,129,1,0,1,1,766,6811341,82,0,patrice.evra
1,0,2,99,1,0,0,0,35,92322,34,0,ingegnere_king
1,0,2,3,0,1,0,0,151,726,485,0,alessiaciardo_
1,0,2,99,1,0,0,1,8,90107,27,0,yellowbet_
1,0,2,0,0,1,0,0,77,523,362,0,laura_vigevani
1,0,2,0,0,1,0,0,4,336,297,0,betlemmee
1,0,2,43,0,1,0,0,121,740,514,0,camilla_cotti_
