Profile Pic,Nums/Length Username,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,Fake
1,0,2,0,24,0,0,1,0,1298,36670304,840,1,0
1,0.167,2,0,116,0,0,0,0,103,320,265,1,0
1,0,2,0,26,0,1,0,0,5,202,355,Null,0
1,0,1,0,71,0,1,0,0,105,4475,2068,Null,0
1,0,1,0,67,0,0,0,1,76,9239,2160,1,0
1,0,2,0,31,1,0,1,0,260,1808431,29,1,0
1,0,2,0,0,0,1,0,0,143,1334,770,Null,0
1,0,3,0,32,0,1,0,0,78,1586,799,Null,0
1,0,2,0,35,0,0,0,1,333,3467,636,1,0
1,0,2,0,12,0,0,0,1,304,6643,1295,1,0
1,0,2,0,0,0,1,0,0,60,474,409,Null,0
1,0,1,0,0,0,0,0,0,138,176,272,1,0
1,0,1,0,0,0,0,0,1,70,1754,397,1,0
1,0,1,0,47,0,1,0,0,150,721,503,Null,0
1,0,2,0,41,1,0,0,0,2,1102,1222,1,0
1,0,1,0,114,1,0,0,1,88,60754,119,1,0
1,0,2,0,123,0,0,0,1,47,189,68,0,0
1,0,2,0,0,0,1,0,0,302,989,918,Null,0
1,0.105,2,0,15,0,0,0,0,10,1137,201,1,0
1,0,2,0,31,0,0,0,1,155,846,801,1,0
1,0,2,0,0,0,1,0,0,3,171,230,Null,0
1,0,1,0,4,0,1,0,0,498,1067,833,Null,0
1,0,1,0,67,0,0,0,1,4,405,603,0,0
1,0,1,0,33,1,0,0,1,510,66016,42,1,0
1,0,2,0,12,0,1,0,0,245,790,480,Null,0
